GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GNW001
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Tribal Census Tract Code,Block Group Code,Tribal Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,Tribal Subdivision Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Primary Metropolitan Statistical Area Code,New England County Metropolitan Area Code,Urban Area Code,Urban/Rural Code,Congressional District (106th) Code,Congressional District (108th) Code,Congressional District (109th) Code,3-Digit Zip Code Tabulation Area Code,5-Digit Zip Code Tabulation Area Code,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Per capita income in 1999
"G0400270","2000","4","8","Arizona","04","Yuma","027",,,,,,,,,,,,,"9360","9999","9999",,,,,,,,"Yuma County",14802
"G0500010","2000","3","7","Arkansas","05","Arkansas","001",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Arkansas County",16401
"G0500030","2000","3","7","Arkansas","05","Ashley","003",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Ashley County",15702
"G0500050","2000","3","7","Arkansas","05","Baxter","005",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Baxter County",16859
"G0500070","2000","3","7","Arkansas","05","Benton","007",,,,,,,,,,,,,"2580","9999","9999",,,,,,,,"Benton County",19377
"G0500090","2000","3","7","Arkansas","05","Boone","009",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Boone County",16175
"G0500110","2000","3","7","Arkansas","05","Bradley","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bradley County",13895
"G0500130","2000","3","7","Arkansas","05","Calhoun","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Calhoun County",15555
"G0500150","2000","3","7","Arkansas","05","Carroll","015",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Carroll County",16003
"G0500170","2000","3","7","Arkansas","05","Chicot","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chicot County",12825
"G0500190","2000","3","7","Arkansas","05","Clark","019",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clark County",14533
"G0500210","2000","3","7","Arkansas","05","Clay","021",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clay County",14512
"G0500230","2000","3","7","Arkansas","05","Cleburne","023",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cleburne County",17250
"G0500250","2000","3","7","Arkansas","05","Cleveland","025",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cleveland County",15362
"G0500270","2000","3","7","Arkansas","05","Columbia","027",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Columbia County",15322
"G0500290","2000","3","7","Arkansas","05","Conway","029",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Conway County",16056
"G0500310","2000","3","7","Arkansas","05","Craighead","031",,,,,,,,,,,,,"3700","9999","9999",,,,,,,,"Craighead County",17091
"G0500330","2000","3","7","Arkansas","05","Crawford","033",,,,,,,,,,,,,"2720","9999","9999",,,,,,,,"Crawford County",15015
"G0500350","2000","3","7","Arkansas","05","Crittenden","035",,,,,,,,,,,,,"4920","9999","9999",,,,,,,,"Crittenden County",14424
"G0500370","2000","3","7","Arkansas","05","Cross","037",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cross County",15726
"G0500390","2000","3","7","Arkansas","05","Dallas","039",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Dallas County",14610
"G0500410","2000","3","7","Arkansas","05","Desha","041",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Desha County",13446
"G0500430","2000","3","7","Arkansas","05","Drew","043",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Drew County",16264
"G0500450","2000","3","7","Arkansas","05","Faulkner","045",,,,,,,,,,,,,"4400","9999","9999",,,,,,,,"Faulkner County",17988
"G0500470","2000","3","7","Arkansas","05","Franklin","047",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Franklin County",14616
"G0500490","2000","3","7","Arkansas","05","Fulton","049",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Fulton County",15712
"G0500510","2000","3","7","Arkansas","05","Garland","051",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Garland County",18631
"G0500530","2000","3","7","Arkansas","05","Grant","053",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Grant County",17547
"G0500550","2000","3","7","Arkansas","05","Greene","055",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Greene County",16403
"G0500570","2000","3","7","Arkansas","05","Hempstead","057",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Hempstead County",14103
"G0500590","2000","3","7","Arkansas","05","Hot Spring","059",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Hot Spring County",15216
"G0500610","2000","3","7","Arkansas","05","Howard","061",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Howard County",15586
"G0500630","2000","3","7","Arkansas","05","Independence","063",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Independence County",16163
"G0500650","2000","3","7","Arkansas","05","Izard","065",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Izard County",14397
"G0500670","2000","3","7","Arkansas","05","Jackson","067",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Jackson County",14564
"G0500690","2000","3","7","Arkansas","05","Jefferson","069",,,,,,,,,,,,,"6240","9999","9999",,,,,,,,"Jefferson County",15417
"G0500710","2000","3","7","Arkansas","05","Johnson","071",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Johnson County",15097
"G0500730","2000","3","7","Arkansas","05","Lafayette","073",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lafayette County",14128
"G0500750","2000","3","7","Arkansas","05","Lawrence","075",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lawrence County",13785
"G0500770","2000","3","7","Arkansas","05","Lee","077",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lee County",10983
"G0500790","2000","3","7","Arkansas","05","Lincoln","079",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lincoln County",12479
"G0500810","2000","3","7","Arkansas","05","Little River","081",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Little River County",15899
"G0500830","2000","3","7","Arkansas","05","Logan","083",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Logan County",14527
"G0500850","2000","3","7","Arkansas","05","Lonoke","085",,,,,,,,,,,,,"4400","9999","9999",,,,,,,,"Lonoke County",17397
"G0500870","2000","3","7","Arkansas","05","Madison","087",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Madison County",14736
"G0500890","2000","3","7","Arkansas","05","Marion","089",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Marion County",14588
"G0500910","2000","3","7","Arkansas","05","Miller","091",,,,,,,,,,,,,"8360","9999","9999",,,,,,,,"Miller County",16444
"G0500930","2000","3","7","Arkansas","05","Mississippi","093",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Mississippi County",13978
"G0500950","2000","3","7","Arkansas","05","Monroe","095",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Monroe County",13096
"G0500970","2000","3","7","Arkansas","05","Montgomery","097",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Montgomery County",14668
"G0500990","2000","3","7","Arkansas","05","Nevada","099",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Nevada County",14184
"G0501010","2000","3","7","Arkansas","05","Newton","101",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Newton County",13788
"G0501030","2000","3","7","Arkansas","05","Ouachita","103",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Ouachita County",15118
"G0501050","2000","3","7","Arkansas","05","Perry","105",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Perry County",16216
"G0501070","2000","3","7","Arkansas","05","Phillips","107",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Phillips County",12288
"G0501090","2000","3","7","Arkansas","05","Pike","109",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Pike County",15385
"G0501110","2000","3","7","Arkansas","05","Poinsett","111",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Poinsett County",13087
"G0501130","2000","3","7","Arkansas","05","Polk","113",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Polk County",14063
"G0501150","2000","3","7","Arkansas","05","Pope","115",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Pope County",15918
"G0501170","2000","3","7","Arkansas","05","Prairie","117",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Prairie County",15907
"G0501190","2000","3","7","Arkansas","05","Pulaski","119",,,,,,,,,,,,,"4400","9999","9999",,,,,,,,"Pulaski County",21466
"G0501210","2000","3","7","Arkansas","05","Randolph","121",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Randolph County",14502
"G0501230","2000","3","7","Arkansas","05","St Francis","123",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"St. Francis County",12483
"G0501250","2000","3","7","Arkansas","05","Saline","125",,,,,,,,,,,,,"4400","9999","9999",,,,,,,,"Saline County",19214
"G0501270","2000","3","7","Arkansas","05","Scott","127",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Scott County",13609
"G0501290","2000","3","7","Arkansas","05","Searcy","129",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Searcy County",12536
"G0501310","2000","3","7","Arkansas","05","Sebastian","131",,,,,,,,,,,,,"2720","9999","9999",,,,,,,,"Sebastian County",18424
"G0501330","2000","3","7","Arkansas","05","Sevier","133",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Sevier County",14122
"G0501350","2000","3","7","Arkansas","05","Sharp","135",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Sharp County",14143
"G0501370","2000","3","7","Arkansas","05","Stone","137",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Stone County",14134
"G0501390","2000","3","7","Arkansas","05","Union","139",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Union County",16063
