Alabama,Total for selected values,"1,000,184","955,684","921,007","891,594","856,972","783,954","823,420","830,538","915,653","881,351","816,280","768,350","717,625","676,183","682,671","680,023","672,021","621,171","561,844","548,333","545,491","587,234","541,861","481,947","468,425","446,131","417,655","393,550","393,171","397,550","363,089","322,959","280,888","250,052","198,664","170,808","143,198","144,058","146,547","143,199","144,217","127,746","126,587","120,257","127,034","113,723","107,747"
Idaho,142461,-,-,-,-,-,-,-,-,490,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Idaho,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"129,418","122,722","125,185","127,018","140,049","139,799","128,593","115,140","103,392","94,427","93,850","96,164","89,042","92,962","86,139","82,173","73,134","69,657","62,951","57,436","54,080","52,133","43,437","42,625","38,227","37,102","34,768","36,362","46,695","34,145","36,072","37,547","45,489","43,517","39,791","38,803","34,820"
Illinois,Total for selected values,"2,412,331","2,333,853","2,318,961","2,266,484","2,274,049","2,244,502","2,458,270","2,362,224","2,397,443","2,314,432","2,346,293","2,204,064","2,130,726","2,135,264","2,142,035","2,133,549","2,082,165","1,778,068","1,605,790","1,499,678","1,442,445","1,369,438","1,269,561","1,202,542","1,157,330","1,153,936","1,126,640","1,103,686","1,079,132","1,031,322","992,653","931,060","879,154","794,053","724,926","680,260","615,695","584,764","579,722","569,130","562,940","555,060","521,200","516,058","502,772","520,349","531,937"
Illinois,143084,-,-,-,-,-,-,-,-,672,484,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,143358,"1,208","1,157","1,704","2,003","1,430","1,460","2,811","2,392","1,947","1,198",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,143853,-,-,-,-,-,-,-,-,"4,099","3,773",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,143978,-,-,-,-,-,-,-,-,190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,144005,799,"1,048",-,859,-,-,-,565,"2,053","1,663",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,144050,"408,775","384,994","401,422","397,412","393,684","376,237","395,677","419,631","462,261","455,435",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,144281,-,-,-,-,-,-,590,"1,318","1,469",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,144740,"5,470","6,428","7,931","9,023","9,046","6,187","5,429","5,706","5,909","5,087",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,144892,-,-,835,-,-,-,794,-,730,781,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,145336,-,-,-,-,-,-,-,928,"1,120","1,269",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,145558,"14,356","15,223","15,754","15,821","15,845","17,162","17,101","15,587","14,535","12,929",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,145600,"340,919","328,421","345,183","318,400","338,357","335,540","361,503","388,625","388,132","377,626",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,145619,-,-,-,-,-,-,-,-,540,194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,145637,"603,163","592,672","594,808","590,157","610,578","599,666","730,664","583,754","556,135","535,979",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,145646,-,-,-,-,-,-,478,750,"1,033",736,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,145725,"30,566","30,219","30,254","28,155","32,767","30,243","36,089","32,576","45,316","38,033",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,145813,"24,110","19,118","18,602","19,265","17,886","18,479","17,286","17,760","18,175","19,162",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,146481,-,-,-,-,-,-,-,-,584,555,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,146719,"34,918","35,714","36,812","40,281","46,440","48,972","50,785","45,903","43,527","45,680",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,147590,-,-,-,-,-,-,-,-,494,988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,147660,-,-,-,-,-,-,-,-,212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,147703,"23,654","21,139","17,740","20,036","16,912","15,844","22,630","21,823","22,165","28,130",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,147767,"763,003","731,565","696,454","673,520","626,181","622,428","628,746","631,078","630,852","598,350",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,147776,"2,206","2,217","1,300",-,-,678,-,-,543,740,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,148496,-,-,-,-,-,-,-,-,339,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,148511,"85,701","80,905","68,609","69,242","75,436","77,692","80,360","80,300","80,731","76,368",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,148654,"1,670","1,965","2,686","1,589","1,975","1,848","2,237","2,370","2,040","2,181",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,149222,"37,149","45,070","44,851","50,193","54,881","62,940","69,632","71,097","72,494","72,754",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,149231,"16,103","16,726","16,112","17,728","18,180","18,244","25,362","26,992","34,383","33,067",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,149772,"2,113","2,239","1,858",-,821,"1,301","1,949","4,514","1,557","1,270",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,149781,"1,935","1,590","1,176",-,747,"1,256",-,844,"1,210",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,409254,"2,029","3,253","3,673","2,942","2,287","1,274","1,966","2,511","1,235",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,445054,"3,277","2,952","2,668","2,558","2,427",-,-,-,760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"2,346,293","2,204,064","2,130,726","2,135,264","2,142,035","2,133,549","2,082,165","1,778,068","1,605,790","1,499,678","1,442,445","1,369,438","1,269,561","1,202,542","1,157,330","1,153,936","1,126,640","1,103,686","1,079,132","1,031,322","992,653","931,060","879,154","794,053","724,926","680,260","615,695","584,764","579,722","569,130","562,940","555,060","521,200","516,058","502,772","520,349","531,937"
Illinois,No match or exact match for IPEDS UnitID,"9,208","9,237","8,529","7,299","8,169","7,051","6,183","5,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,Total for selected values,"1,478,977","1,366,955","1,353,767","1,329,936","1,263,327","1,262,401","1,313,294","1,306,462","1,295,748","1,234,433","1,180,870","1,127,300","1,073,226","1,008,142","942,708","1,075,235","944,330","802,842","732,447","652,101","602,874","566,300","539,490","534,632","524,626","477,970","441,293","420,956","399,347","378,490","370,662","358,922","329,742","317,087","291,574","274,211","261,827","251,077","262,947","240,020","231,433","223,435","208,492","217,942","214,488","211,134","218,970"
Indiana,150136,"10,812","10,136","8,149","11,104","10,066","8,882","10,178","11,740","19,125","21,306",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,150163,-,-,-,-,-,-,-,-,622,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,150400,-,-,-,-,-,-,-,-,446,523,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,150455,-,-,-,523,-,-,-,-,477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,151102,"2,151","4,490","4,867","5,619","6,730","7,602","7,988","8,570","9,034","8,868",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,151111,"60,212","54,936","53,781","54,612","53,415","312,752","327,021","316,914","328,805","308,180",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,151306,-,-,-,-,-,-,-,-,284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,151324,"1,497","1,201","1,189","1,664","1,471","1,385","1,217","1,857","2,018","1,603",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,151342,-,870,962,"1,391","1,545","1,509","1,386","1,219","1,120","1,113",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,151351,"594,825","514,762","500,630","480,264","462,909","198,726","194,484","184,486","187,627","184,704",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,151360,-,-,-,-,-,-,-,-,303,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,151379,-,-,-,-,-,-,555,-,465,425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,151801,-,-,-,-,-,-,-,-,287,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,152080,"213,729","199,758","197,153","190,888","182,228","175,760","172,198","157,691","136,988","114,835",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,152248,-,"7,320",-,"7,374","9,227","7,876","8,117","14,897","12,175","14,581",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,152266,-,-,-,"1,289","1,053","1,131","1,500","1,518","1,464","1,404",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,152318,-,-,-,-,-,-,631,"1,081","1,292","1,542",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,152530,-,-,-,-,-,-,-,-,340,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,152600,-,-,"1,812","2,871","1,601","1,365","1,069","2,111","1,417",823,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,152673,-,-,-,-,-,539,"1,488","1,877","2,138","3,329",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,243780,"591,059","573,481","576,956","572,336","533,083","544,872","585,464","602,501","589,321","571,196",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,490805,"4,693",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"1,180,870","1,127,300","1,073,226","1,008,142","942,708","1,075,235","944,330","802,842","732,447","652,101","602,874","566,300","539,490","534,632","524,626","477,970","441,293","420,956","399,347","378,490","370,662","358,922","329,742","317,087","291,574","274,211","261,827","251,077","262,947","240,020","231,433","223,435","208,492","217,942","214,488","211,134","218,970"
Indiana,No match or exact match for IPEDS UnitID,-,-,"8,267",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iowa,Total for selected values,"783,795","804,378","769,431","768,428","724,120","746,297","702,045","718,281","738,506","735,264","602,703","572,624","653,857","654,770","647,797","647,523","618,745","599,316","551,211","535,705","491,420","476,353","460,206","455,300","450,184","449,410","434,601","400,023","395,283","366,026","342,092","308,235","277,042","263,649","243,111","226,182","234,992","225,997","223,479","224,648","209,604","187,865","181,868","166,314","157,692","146,523","145,077"
Iowa,153144,-,-,-,-,-,-,-,-,316,475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iowa,153269,770,"1,002","1,126","1,471",-,-,902,-,985,"1,075",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iowa,153384,"4,896","5,060","4,588","3,949","3,553","3,833","3,954","2,735","1,366","2,153",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iowa,153603,"319,130","327,982","299,759","309,988","292,135","302,144","261,998","260,995","272,774","260,242",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iowa,153658,"452,560","464,881","457,886","446,844","422,963","433,205","427,868","446,429","452,407","462,003",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iowa,153834,-,-,-,-,-,-,-,-,433,356,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iowa,154095,"3,230","2,709","3,060","3,429","3,848","3,579","3,615","3,615","4,329","3,188",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iowa,154156,"1,740","1,292","1,312","1,323",-,896,-,-,942,890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iowa,154174,"1,469","1,453","1,701","1,425","1,620","2,639","3,709","4,507","4,954","4,883",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iowa,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"602,703","572,624","653,857","654,770","647,797","647,523","618,745","599,316","551,211","535,705","491,420","476,353","460,206","455,300","450,184","449,410","434,601","400,023","395,283","366,026","342,092","308,235","277,042","263,649","243,111","226,182","234,992","225,997","223,479","224,648","209,604","187,865","181,868","166,314","157,692","146,523","145,077"
Kansas,Total for selected values,"626,481","581,799","535,040","527,948","536,560","528,369","535,958","527,122","520,850","502,443","492,425","458,589","435,057","424,672","447,080","427,549","406,885","369,894","337,007","331,022","307,234","283,264","266,126","249,393","253,228","240,642","224,397","207,259","189,402","180,809","176,461","169,451","165,249","163,175","147,197","135,079","124,734","114,893","119,789","117,035","111,465","106,615","110,439","109,028","102,808","121,648","124,924"
Kansas,155025,-,-,-,-,-,-,-,-,535,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kansas,155061,"1,018",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kansas,155140,-,-,-,-,-,-,831,"1,961","1,157","1,018",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kansas,155317,"313,939","307,860","278,207","281,242","297,153","290,832","293,350","286,262","279,996","278,805",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kansas,155399,"194,628","198,220","182,011","182,428","180,097","178,381","179,938","176,141","172,412","167,181",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kansas,155681,"2,237","2,046","2,089","2,041","2,109","2,387","1,510","1,479","1,719","1,830",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kansas,156082,-,-,-,-,-,-,-,-,274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kansas,156125,"114,659","73,674","72,733","62,237","57,201","56,770","60,329","61,279","64,757","53,609",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kansas,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"492,425","458,589","435,057","424,672","447,080","427,549","406,885","369,894","337,007","331,022","307,234","283,264","266,126","249,393","253,228","240,642","224,397","207,259","189,402","180,809","176,461","169,451","165,249","163,175","147,197","135,079","124,734","114,893","119,789","117,035","111,465","106,615","110,439","109,028","102,808","121,648","124,924"
Kentucky,Total for selected values,"543,926","541,662","540,206","515,910","493,139","514,887","541,439","586,240","607,514","598,557","578,383","567,811","583,005","566,192","547,243","553,617","480,696","412,339","373,817","354,760","359,991","320,816","258,873","240,272","216,156","197,253","185,348","169,417","154,410","149,352","141,445","159,962","141,715","128,142","103,577","104,596","102,288","99,012","94,860","90,406","97,998","92,591","82,577","72,840","71,742","63,454","66,500"
Kentucky,156286,-,-,-,-,-,-,-,-,204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentucky,156295,-,-,-,-,-,-,-,-,216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentucky,156408,-,-,-,-,-,-,-,-,487,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentucky,156620,"1,002","1,037","1,156","1,403","1,604","2,142","2,796","3,404","3,855","3,674",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentucky,157058,"7,507","8,286","7,551","6,776","5,742","5,492","5,508","6,859","4,649","5,111",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentucky,157085,"365,518","356,882","350,515","330,073","316,546","316,589","333,904","360,776","380,085","374,510",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentucky,157289,"154,424","160,406","164,512","163,221","155,801","176,867","183,551","196,842","201,225","196,742",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentucky,157386,"1,805","2,210","2,649","2,265","1,754","1,825","2,586","2,174","2,057","2,232",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentucky,157401,"3,303","2,608","2,278","2,005","2,263","2,006","2,154","3,345","3,789","3,533",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentucky,157447,"2,104","1,501","1,528","1,743","1,933","1,979","1,779","2,201","2,443","2,410",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentucky,157951,"8,262","8,732","10,018","8,426","7,495","7,986","9,161","10,639","8,504","10,345",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentucky,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"578,383","567,811","583,005","566,192","547,243","553,617","480,696","412,339","373,817","354,760","359,991","320,816","258,873","240,272","216,156","197,253","185,348","169,417","154,410","149,352","141,445","159,962","141,715","128,142","103,577","104,596","102,288","99,012","94,860","90,406","97,998","92,591","82,577","72,840","71,742","63,454","66,500"
Louisiana,Total for selected values,"692,930","675,823","640,083","644,856","632,490","642,124","659,997","699,228","741,463","742,556","748,193","738,667","683,121","642,691","694,416","686,104","639,112","588,247","547,041","524,529","493,497","470,240","465,894","439,778","459,003","398,529","382,993","374,274","369,092","336,142","302,914","287,266","265,275","249,075","238,223","204,225","195,045","198,385","197,934","175,508","163,409","159,858","135,374","136,715","131,389","130,559","140,205"
Louisiana,158802,"2,468","5,968","6,573","9,030","8,958","6,693","7,607","7,448","8,088","8,766",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Louisiana,159009,"2,525","2,707","5,476","1,482","1,778","1,417","1,666","2,179","2,176","1,033",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Louisiana,159373,"36,424","35,403","37,782","40,654","44,699","43,872","48,590","53,712","58,100","62,195",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Louisiana,159391,"263,955","260,353","245,644","275,615","268,306","279,780","278,512","285,395","293,362","301,603",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Louisiana,159416,-,-,-,-,-,-,921,"1,168","1,851","1,414",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Louisiana,159647,"23,274","22,387","21,067","21,810","22,738","22,128","24,519","26,546","28,112","27,073",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Louisiana,159656,-,-,-,-,-,-,-,-,794,619,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Louisiana,159717,-,378,"1,359","1,194","1,596","1,631","1,401","1,330","1,591","1,121",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Louisiana,159939,"13,646","13,109","14,765","14,838","18,094","19,882","24,183","28,450","36,037","36,438",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Louisiana,159966,-,-,-,628,"1,518","1,738","1,677","2,794","3,385","2,695",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Louisiana,159993,"2,105","1,928","2,128","2,304","1,596","2,187","2,733","2,469","2,866","3,001",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
